Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SanityTests,Chrome 63.0.3239.84,,2017-12-22 23:05:25,2017-12-22 23:07:03,1m - 38.699s,FAILED
,,,,,,
Test Cases/Login,Chrome 63.0.3239.84,,2017-12-22 23:05:25,2017-12-22 23:05:36,10.620s,PASSED
openBrowser,Chrome 63.0.3239.84,,2017-12-22 23:05:26,2017-12-22 23:05:33,6.923s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 23:05:33,2017-12-22 23:05:33,0.387s,PASSED
setText,Chrome 63.0.3239.84,,2017-12-22 23:05:33,2017-12-22 23:05:34,0.979s,PASSED
setText,Chrome 63.0.3239.84,,2017-12-22 23:05:34,2017-12-22 23:05:35,0.365s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 23:05:35,2017-12-22 23:05:35,0.285s,PASSED
setText,Chrome 63.0.3239.84,,2017-12-22 23:05:35,2017-12-22 23:05:36,0.738s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 23:05:36,2017-12-22 23:05:36,0.134s,PASSED
,,,,,,
Test Cases/Add Member,Chrome 63.0.3239.84,,2017-12-22 23:05:36,2017-12-22 23:05:48,12.425s,PASSED
callTestCase,Chrome 63.0.3239.84,,2017-12-22 23:05:36,2017-12-22 23:05:46,9.513s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 23:05:46,2017-12-22 23:05:47,1.184s,PASSED
setText,Chrome 63.0.3239.84,,2017-12-22 23:05:47,2017-12-22 23:05:47,0.208s,PASSED
setText,Chrome 63.0.3239.84,,2017-12-22 23:05:47,2017-12-22 23:05:47,0.257s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 23:05:47,2017-12-22 23:05:47,0.137s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2017-12-22 23:05:47,2017-12-22 23:05:48,0.831s,PASSED
,,,,,,
Test Cases/Delete Member,Chrome 63.0.3239.84,,2017-12-22 23:05:48,2017-12-22 23:06:01,12.835s,PASSED
callTestCase,Chrome 63.0.3239.84,,2017-12-22 23:05:49,2017-12-22 23:06:00,11.728s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 23:06:00,2017-12-22 23:06:01,0.717s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 23:06:01,2017-12-22 23:06:01,0.134s,PASSED
,,,,,,
Test Cases/Edit Fleet Administrator Profile,Chrome 63.0.3239.84,,2017-12-22 23:06:01,2017-12-22 23:06:25,23.670s,FAILED
callTestCase,Chrome 63.0.3239.84,,2017-12-22 23:06:01,2017-12-22 23:06:20,18.843s,PASSED
openBrowser,Chrome 63.0.3239.84,,2017-12-22 23:06:20,2017-12-22 23:06:24,4.159s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 23:06:24,2017-12-22 23:06:25,0.430s,FAILED
,,,,,,
Test Cases/Logout,Chrome 63.0.3239.84,,2017-12-22 23:06:25,2017-12-22 23:07:03,37.681s,FAILED
openBrowser,Chrome 63.0.3239.84,,2017-12-22 23:06:25,2017-12-22 23:06:29,3.448s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2017-12-22 23:06:29,2017-12-22 23:06:31,2.636s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 23:06:31,2017-12-22 23:07:03,31.385s,FAILED
